count,T_count,sum_leg,reflex,on_reflex_,reflex_index,traj_error
90,0,[ 29. 104.  20.  83.  18.  13.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   3.  -3.  17.   9.  -9.   2.  -2.   2. -10.   9.   1.  -3.   1.
   2.  -2.   0.   2.]"
91,0,[ 30. 114.  20.  83.  19.  14.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  2.   2.  -3.  17.  15. -14.   3.  -2.   2. -11.   8.   1.  -3.   1.
   2.  -3.  -1.   2.]"
92,0,[ 29. 133.  22.  82.  19.  15.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  17.  21. -19.   2.  -2.   2. -10.   8.   1.  -3.   1.
   1.  -2.  -1.   2.]"
93,0,[ 29. 164.  23.  80.  23.  16.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  19.  25. -23.   1.  -2.   2. -10.   9.   1.  -3.   1.
   2.  -2.  -1.   1.]"
94,0,[ 29. 205.  24.  79.  23.  16.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -3.  20.  28. -25.   1.  -2.   3. -11.   8.   0.  -3.   0.
   2.  -1.  -2.   0.]"
95,0,[ 29. 243.  24.  75.  19.  13.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  4.   2.  -2.  21.  31. -28.   0.  -2.   0. -12.   8.   2.  -2.   0.
   3.  -2.  -1.   1.]"
96,0,[ 30. 277.   8.  76.  19.  12.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  21.  31. -30.   1.  -2.   2. -11.   9.   1.  -2.   0.
   3.  -2.  -2.   2.]"
97,0,[ 30. 302.   8.  78.  20.  13.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  21.  31. -31.   1.  -2.   1. -12.   9.   1.  -2.  -1.
   4.  -2.  -2.   1.]"
98,0,[ 30. 318.   8.  80.  21.  14.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  21.  31. -31.   1.  -2.   2. -12.   9.   1.  -2.  -1.
   4.  -2.  -2.   1.]"
99,0,[ 29. 328.   8.  87.  22.  20.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  3.   2.  -2.  21.  31. -32.   1.  -2.   3. -12.   8.   1.  -2.  -1.
   3.  -2.  -2.   0.]"
100,0,[ 28. 332.  20.  86.  22.  16.],[0. 1. 0. 0. 0. 0.],[1. 0. 1. 0. 1. 0.],[  3. -10.   3.  -2.   3.  -2.],"[  4.   1.  -2.  21.  32. -32.   0.  -3.   1. -12.   8.   0.  -2.  -1.
   5.  -2.  -3.   0.]"
